contact_n,month_n,poutcome_n,duration,previous,y_n
0.0,0.0,0.0,0.3633540372670807,0.0,0.0
1.0,0.0,0.5,0.5326086956521738,0.14285714285714285,0.0
1.0,0.4444444444444444,0.0,0.14440993788819875,0.0,0.0
0.0,0.0,0.0,0.7981366459627328,0.0,0.0
1.0,0.8888888888888888,0.0,0.6118012422360248,0.0,0.0
1.0,0.7777777777777777,0.5,0.358695652173913,0.5714285714285714,0.0
0.0,0.0,0.0,0.17857142857142855,0.0,0.0
1.0,0.0,0.5,0.47204968944099374,0.14285714285714285,0.0
0.0,0.1111111111111111,0.0,0.25931677018633537,0.0,0.0
1.0,0.2222222222222222,0.0,0.25931677018633537,0.0,0.0
1.0,0.0,0.0,0.2577639751552795,0.0,0.0
1.0,0.0,0.5,0.25621118012422356,0.14285714285714285,1.0
1.0,0.0,0.0,0.10559006211180123,0.0,0.0
1.0,0.3333333333333333,0.0,0.21894409937888198,0.0,0.0
1.0,0.3333333333333333,0.0,0.23757763975155277,0.0,0.0
0.0,0.0,0.0,0.20341614906832298,0.0,0.0
1.0,0.0,0.0,0.24223602484472048,0.0,0.0
1.0,0.3333333333333333,0.0,0.17857142857142855,0.0,0.0
1.0,0.3333333333333333,0.0,0.3695652173913043,0.0,0.0
0.0,0.2222222222222222,0.0,0.21894409937888198,0.0,0.0
1.0,0.0,0.0,0.18478260869565216,0.0,1.0
1.0,0.8888888888888888,0.0,0.11801242236024843,0.0,0.0
1.0,0.0,0.0,0.05590062111801242,0.0,0.0
1.0,0.8888888888888888,0.5,0.14285714285714285,0.14285714285714285,0.0
1.0,0.3333333333333333,0.0,0.19409937888198756,0.0,0.0
0.0,0.1111111111111111,0.0,0.2872670807453416,0.0,0.0
1.0,0.5555555555555556,0.0,0.2624223602484472,0.0,0.0
1.0,0.0,0.0,0.20341614906832298,0.0,0.0
0.0,0.0,0.0,0.5885093167701863,0.0,0.0
1.0,0.2222222222222222,0.0,0.3944099378881987,0.0,0.0
0.0,0.0,0.0,0.5201863354037267,0.0,0.0
1.0,0.2222222222222222,0.0,0.16925465838509315,0.0,0.0
1.0,0.5555555555555556,0.0,0.24999999999999997,0.0,0.0
1.0,0.8888888888888888,0.0,0.16304347826086957,0.0,0.0
1.0,0.3333333333333333,0.0,0.4270186335403726,0.0,0.0
1.0,0.5555555555555556,0.5,0.18944099378881987,0.14285714285714285,0.0
1.0,0.8888888888888888,0.0,0.2329192546583851,0.0,0.0
0.0,0.2222222222222222,0.0,0.2888198757763975,0.0,0.0
1.0,0.3333333333333333,0.0,0.24223602484472048,0.0,0.0
1.0,0.5555555555555556,0.0,0.09472049689440994,0.0,0.0
1.0,0.0,0.0,0.12732919254658384,0.0,0.0
1.0,0.0,0.0,0.3012422360248447,0.0,0.0
1.0,0.2222222222222222,0.0,0.20962732919254656,0.0,0.0
0.0,0.0,0.0,0.2872670807453416,0.0,0.0
1.0,0.0,0.0,0.04813664596273291,0.0,0.0
1.0,0.2222222222222222,0.0,0.951863354037267,0.0,0.0
0.0,0.1111111111111111,0.0,0.03416149068322981,0.0,0.0
1.0,0.5555555555555556,0.0,0.10093167701863354,0.0,0.0
0.0,0.2222222222222222,0.0,0.20962732919254656,0.0,0.0
1.0,0.0,0.0,0.6071428571428571,0.0,0.0
0.0,0.1111111111111111,0.0,0.2950310559006211,0.0,0.0
1.0,0.8888888888888888,0.5,0.07453416149068323,0.14285714285714285,0.0
1.0,0.0,0.5,0.8555900621118012,0.14285714285714285,1.0
1.0,0.3333333333333333,0.0,0.40062111801242234,0.0,0.0
0.0,0.2222222222222222,0.0,0.6521739130434783,0.0,0.0
1.0,0.0,0.0,0.32608695652173914,0.0,0.0
1.0,0.2222222222222222,0.0,0.2919254658385093,0.0,0.0
1.0,0.3333333333333333,0.0,0.3571428571428571,0.0,0.0
0.0,0.0,0.0,0.5885093167701863,0.0,0.0
0.0,0.0,0.0,0.06521739130434782,0.0,0.0
0.0,0.0,0.0,0.2468944099378882,0.0,0.0
1.0,0.0,0.0,0.2686335403726708,0.0,0.0
0.0,0.3333333333333333,1.0,0.2468944099378882,0.2857142857142857,0.0
1.0,0.2222222222222222,0.0,0.22204968944099376,0.0,0.0
1.0,0.3333333333333333,0.0,0.38664596273291924,0.0,0.0
1.0,0.1111111111111111,0.0,0.9394409937888198,0.0,1.0
1.0,0.8888888888888888,0.0,0.6118012422360248,0.0,1.0
1.0,0.0,0.0,0.8664596273291925,0.0,0.0
1.0,0.8888888888888888,0.0,0.18167701863354035,0.0,1.0
1.0,0.2222222222222222,0.0,0.951863354037267,0.0,0.0
1.0,0.5555555555555556,0.5,0.47826086956521735,0.14285714285714285,0.0
1.0,0.3333333333333333,0.0,0.07763975155279502,0.0,0.0
1.0,0.0,0.5,0.8307453416149068,0.14285714285714285,0.0
1.0,0.0,0.5,0.15527950310559005,0.14285714285714285,0.0
1.0,0.2222222222222222,0.0,0.10559006211180123,0.0,0.0
1.0,0.7777777777777777,0.5,0.23913043478260868,0.42857142857142855,0.0
